Go 包,分类,状态,WinterTC 对应,说明
bytes,基础与语言层,部分,Uint8Array / DataView (ECMA-262),字节序列操作属语言层；但没有 bytes.Buffer 那样的同步可增长缓冲区与 bytes.Reader
cmp,基础与语言层,部分,ECMA-262 的比较语义（<、==）,三值比较器/泛型比较函数没有标准形式
context,基础与语言层,部分,AbortController / AbortSignal (§5.1),取消有（AbortSignal 还能组合与超时）；但没有 value 传播/deadline 树的等价物。TC55 正在补这一块：AsyncLocalStorage 草案（见 raw/wintertc-asynclocalstorage.md）
fmt,基础与语言层,部分,"console (Console Standard, §5.2)",只有 console 的格式化；没有 Sprintf 动词库、没有 io.Writer 抽象
iter,基础与语言层,部分,迭代协议 (ECMA-262),迭代协议在语言层，但没有 Seq 式惰性管线与显式 yield 类型
maps,基础与语言层,部分,Map / Set (ECMA-262),容器在语言层，缺 Keys/Values/Equal/Clone 这类集合工具
math/bits,基础与语言层,缺失,-,位操作库（前导零/位反转/乘法高位）没有标准 API；语言位运算符只有 32 位语义
math/cmplx,基础与语言层,缺失,-,无复数支持
math/rand,基础与语言层,部分,crypto.getRandomValues() (§5.2),安全随机有；没有可播种 PRNG、没有分布采样 API
math/rand/v2,基础与语言层,部分,crypto.getRandomValues() (§5.2),同上
reflect,基础与语言层,部分,Proxy / Reflect (ECMA-262),对象属性反射在语言层；Go 的 reflect 是静态类型元编程，两者语义不同
regexp/syntax,基础与语言层,缺失,-,没有正则语法树/编译结果检视 API
slices,基础与语言层,部分,Array.prototype / TypedArray.prototype (ECMA-262),常用操作在语言层，缺泛型二分、稳定排序、Chunk/Clip 等工具
sort,基础与语言层,部分,Array.prototype.sort (ECMA-262),排序在语言层，但没有三值比较器接口、没有 PartialSort/稳定性的显式契约
strconv,基础与语言层,部分,Number.parseInt/parseFloat/toString (ECMA-262),缺进制/精度控制，也没有 strconv.Quote 那类转义工具
strings,基础与语言层,部分,String 原语 (ECMA-262),缺 Sprintf 式格式化、Strings.Builder 式的增量拼接、[]byte↔string 零拷贝转换
structs,基础与语言层,缺失,-,structs.HostLayout 是 cgo 互操作概念，无对应
unicode,基础与语言层,部分,RegExp \p{...} 属性类 (ECMA-262),有属性匹配，但没有 Unicode 分类表 API；大小写映射靠 String.prototype.toUpperCase，locale 相关要 Intl
unicode/utf16,基础与语言层,部分,String 本身即 UTF-16 (ECMA-262),有 codePointAt/fromCodePoint，没有显式 UTF-16 编解码器
unicode/utf8,基础与语言层,部分,"TextEncoder / TextDecoder (Encoding Standard, §5.1)",编解码覆盖，但没有逐码点的校验/遍历 API（RuneCount/Valid/DecodeRune）
unique,基础与语言层,部分,-,值驻留（interning）没有标准 API；语言层只有字符串/原始值隐式驻留，弱引用走 WeakRef
unsafe,基础与语言层,缺失,-,JS 没有裸内存/指针概念
bufio,字节与流,部分,Web Streams（ReadableStream/WritableStream + reader）(§5.1),只有异步流抽象；没有同步 BufferedReader/Writer，也没有按行/按词切分的 Scanner
io,字节与流,部分,ReadableStream / WritableStream / TransformStream (§5.1),Web Streams 是异步拉取/管道模型；没有同步 Reader/Writer 接口，也没有 io.Copy 的同步形式
io/fs,字节与流,缺失,-,最小集不含文件系统 API（File System Standard / OPFS 未列入 ECMA-429）
io/ioutil,字节与流,缺失,-,已废弃包；对应能力（一次性读整个流）在最小集里没有便捷 API
encoding,编码与序列化,部分,TextEncoder / TextDecoder (Encoding Standard),只有文本编解码接口；没有通用 Marshal/Unmarshal 框架
encoding/ascii85,编码与序列化,缺失,-,无
encoding/asn1,编码与序列化,缺失,-,无 ASN.1/DER API（WebCrypto 的 importKey 只是入口，不暴露解析）
encoding/base32,编码与序列化,缺失,-,无
encoding/base64,编码与序列化,部分,atob() / btoa() (§5.2),只有 base64，且是 latin1 字符串语义；无 base64url、无流式编码器、无 RawStdEncoding 变体
encoding/binary,编码与序列化,部分,DataView / TypedArray (ECMA-262),语言层能读写二进制，但没有结构体/格式驱动的编解码器，字节序要自己写
encoding/csv,编码与序列化,缺失,-,无 CSV API
encoding/gob,编码与序列化,缺失,-,无
encoding/hex,编码与序列化,缺失,-,无
encoding/pem,编码与序列化,缺失,-,无 PEM 编解码 API
encoding/xml,编码与序列化,缺失,-,DOMParser/XMLSerializer 不在最小集；XML 没有任何被要求的 API
mime,编码与序列化,部分,Blob.type / FormData (§5.1),MIME 类型只是 Blob 上的字符串；没有 MIME 解析/构造 API（MIME Sniffing 规范没有 API 面）
mime/multipart,编码与序列化,部分,FormData (§5.1),FormData 能产出 multipart，但不能把 multipart 请求体解析回来（服务端方向缺口）
mime/quotedprintable,编码与序列化,缺失,-,无
archive/tar,压缩与归档,缺失,-,无
archive/zip,压缩与归档,缺失,-,无
compress/bzip2,压缩与归档,缺失,-,Compression Standard 不含 bzip2
compress/lzw,压缩与归档,缺失,-,Compression Standard 不含 LZW
crypto,加解密,部分,crypto / crypto.getRandomValues() (§5.2),命名空间与安全随机有；没有等价的算法包体系
crypto/aes,加解密,部分,SubtleCrypto: AES-CBC / AES-CTR / AES-GCM / AES-KW,块密码本身没有单独接口，只能用封装好的模式，且必须整块处理
crypto/cipher,加解密,部分,SubtleCrypto（AEAD 仅 AES-GCM）,没有可组合的块/流密码接口让使用者自己搭模式（CTR+HMAC 之类要拿非标准扩展）
crypto/des,加解密,缺失,-,WebCrypto 不含 DES/3DES
crypto/dsa,加解密,缺失,-,WebCrypto 不含 DSA
